race,award,winner,movie,birthplace,sexual_orientation,years_since_award,age_at_award
1,Best Actress,Katharine Hepburn,The Lion in Winter,1,bisexual,51,62
1,Best Actress,Maggie Smith,The Prime of Miss Jean Brodie,0,straight,50,36
1,Best Actress,Glenda Jackson,Women in Love,0,straight,49,37
1,Best Actress,Jane Fonda,Klute,1,straight,48,35
1,Best Actress,Liza Minnelli,Cabaret,1,na,47,27
1,Best Actress,Glenda Jackson,A Touch of Class,0,straight,46,28
1,Best Actress,Ellen Burstyn,Alice Doesn't Live Here Anymore,1,straight,45,29
1,Best Actress,Louise Fletcher,One Flew Over the Cuckoo's Nest,1,straight,44,42
1,Best Actress,Faye Dunaway,Network,1,straight,43,36
1,Best Actress,Diane Keaton,Annie Hall,1,straight,42,37
1,Best Actress,Jane Fonda,Coming Home,1,straight,41,42
1,Best Actress,Sally Field,Norma Rae,1,straight,40,43
1,Best Actress,Sissy Spacek,Coal Miner's Daughter,1,straight,39,32
1,Best Actress,Katharine Hepburn,On Golden Pond,1,bisexual,38,75
1,Best Actress,Meryl Streep,Sophie's Choice,1,straight,37,34
1,Best Actress,Shirley MacLaine,Terms of Endearment,1,straight,36,50
1,Best Actress,Sally Field,Places in the Heart,1,straight,35,51
1,Best Actress,Geraldine Page,The Trip to Bountiful,1,straight,34,62
1,Best Actress,Marlee Matlin,Children of a Lesser God,1,straight,33,22
1,Best Actress,Cher,Moonstruck,1,bisexual,32,42
1,Best Actress,Jodie Foster,The Accused,1,homosexual,31,27
1,Best Actress,Jessica Tandy,Driving Miss Daisy,0,straight,30,28
1,Best Actress,Kathy Bates,Misery,1,straight,29,43
1,Best Actress,Jodie Foster,The Silence of the Lambs,1,homosexual,28,30
1,Best Actress,Emma Thompson,Howards End,0,straight,27,34
1,Best Actress,Holly Hunter,The Piano,1,straight,26,36
1,Best Actress,Jessica Lange,Blue Sky,1,straight,25,46
1,Best Actress,Susan Sarandon,Dead Man Walking,1,straight,24,47
1,Best Actress,Frances McDormand,Fargo,1,straight,23,40
1,Best Actress,Helen Hunt,As Good As It Gets,1,straight,22,35
1,Best Actress,Gwyneth Paltrow,Shakespeare in Love,1,straight,21,27
1,Best Actress,Hilary Swank,Boys Don't Cry,1,straight,20,26
1,Best Actress,Julia Roberts,Erin Brockovich,1,straight,19,34
0,Best Actress,Halle Berry,Monster's Ball,1,straight,18,36
1,Best Actress,Nicole Kidman,The Hours,1,straight,17,36
1,Best Actress,Charlize Theron,Monster,0,straight,16,37
1,Best Actress,Hilary Swank,Million Dollar Baby,1,straight,15,31
1,Best Actress,Reese Witherspoon,Walk the Line,1,straight,14,30
1,Best Actress,Helen Mirren,The Queen,0,straight,13,62
1,Best Actress,Marion Cotillard,The Passionate Life of Edith Piaf,0,straight,12,33
1,Best Actress,Kate Winslet,The Reader,0,straight,11,34
1,Best Actress,Sandra Bullock,The Blind Side,1,straight,10,46
1,Best Actress,Natalie Portman,Black Swan,0,straight,9,47
